ds,yhat,yhat_lower,yhat_upper
2023-04-02,421.78818816284956,-266.18579848446456,1117.0728163689253
2023-04-04,428.1698358589365,-276.7835018512017,1125.7806556261105
2023-04-05,419.8418736373202,-364.23941992298205,1094.5132632560035
2023-04-06,434.53193912553166,-264.95732934592155,1130.3709630600044
2023-04-08,522.6272227512084,-208.3322857070398,1186.8724317196177
2023-04-09,421.9432784148263,-304.98160498825877,1136.4510987415804
2023-04-10,478.4887300604927,-204.42376819448563,1229.1709972120093
2023-04-11,428.3249260654159,-271.65178062590144,1133.0643410475282
2023-04-12,419.99696382062893,-267.817758623144,1122.3628664112703
2023-04-13,434.68702928636145,-267.97144275244017,1174.1681746420195
2023-04-15,522.7823128658885,-126.61195217240767,1219.4877124117538
2023-04-16,422.0983685067093,-289.1501733615141,1130.9183363103757
2023-04-17,478.6438201524914,-196.26138523299846,1242.0832378757207
2023-04-18,428.4800161572373,-277.3523426811893,1137.2618514185408
2023-04-19,420.1520539124556,-297.33034762496874,1109.1091308771265
2023-04-20,434.8421193781175,-232.27940044217488,1148.2034961497613
2023-04-21,461.0357696900816,-261.7452249012863,1234.045533919677
2023-04-22,522.9373990899538,-176.10926199585273,1218.1296027671276
2023-04-23,422.2534508628582,-275.728234473731,1153.2379761018478
2023-04-24,478.7988986404818,-189.53817881999944,1211.2553981269255
2023-04-25,428.63509077747347,-296.36738826944253,1182.678890874253
2023-04-26,420.3071246647696,-311.2740941259795,1110.0124863539104
2023-04-27,434.99718626256686,-283.20757982278593,1107.8065591930388
2023-04-28,461.1908327066925,-246.53368269966933,1173.5160547468727
2023-04-29,523.0924621064178,-170.11736369260794,1234.258939163707
2023-04-30,422.40851387928046,-281.4252776970896,1140.0637461873475
2023-05-01,478.9539616570198,-272.50059170267883,1186.898706158468
2023-05-02,428.79015393424936,-349.411746911154,1160.6129292617575
2023-05-03,420.4621879621503,-285.24100089906335,1085.5252738741347
2023-05-04,435.15224970042254,-273.49991280172753,1131.6892946023177
2023-05-05,461.3458962849772,-274.7196998332343,1113.8669831600246
2023-05-06,523.2475258253928,-204.87112426727697,1237.625520602136
2023-05-07,422.5635777387302,-279.9312086804386,1079.8194853513507
2023-05-08,479.1090256569897,-207.70271393401475,1176.000443553105
2023-05-09,428.94521796538106,-278.07356302701226,1117.8510051406927
2023-05-10,420.6172520249296,-297.5659477154412,1125.2533479125664
2023-05-11,435.30731379443534,-279.25376052164626,1113.3022962658683
2023-05-12,461.5009604103861,-215.78669341798087,1162.551408658352
2023-05-13,523.4025899819408,-215.06562952686718,1252.044666788512
2023-05-14,422.71864192657375,-290.1994785639219,1106.827680531295
2023-05-15,479.26408987610364,-216.60680130668146,1220.691594276188
2023-05-16,429.10028218478,-308.97710304293616,1128.969348444592
2023-05-17,420.7723162437898,-318.5947812886196,1141.0091117324073
2023-05-18,435.46237801346354,-268.1539660124146,1088.699027124211
2023-05-19,461.6560246888391,-264.63652457391146,1143.4369824911987
2023-05-20,523.5576543198013,-219.49183199425866,1255.157892851403
2023-05-21,422.87370632357346,-283.38305173384384,1126.5862551047965
2023-05-22,479.4191543324032,-223.66390244535285,1178.8553715098842
2023-05-23,429.25534670021693,-284.76797313133926,1143.471042677322
2023-05-24,420.9273808188497,-311.4368504249316,1117.498746291981
2023-05-25,435.61744264773256,-240.77503465169036,1150.919525400493
2023-05-26,461.8110893228234,-257.85905644574916,1205.91011049815
2023-05-27,523.712718953982,-206.82541652690233,1246.2080598620275
2023-05-28,423.02877093847775,-316.10628536772526,1179.5966768364099
2023-05-29,479.5742189281289,-234.99352784196057,1199.9405795575774
2023-05-30,429.41041127688544,-293.5763231003642,1114.7872623076844
2023-05-31,421.08244537595084,-305.3458477965435,1100.545674437265
2023-06-01,435.7725071853833,-279.02220151384495,1139.146349198996
2023-06-02,461.96615384133446,-199.59477042650053,1200.3489281896063
2023-06-03,523.8677834532209,-204.3892496447245,1210.218842802583
2023-06-04,423.18383543768374,-300.19093447244484,1112.5958502245937
2023-06-05,479.7292834273478,-256.8195177951665,1204.042408217118
2023-06-06,429.56547577595455,-312.61494460991287,1202.2101345662004
2023-06-07,421.2375098751173,-280.00845564762676,1206.3661077857237
2023-06-08,435.9275716849414,-202.05669043825446,1152.8555723469328
2023-06-09,462.1212184949724,-246.86921609291957,1144.8053495598328
